84,"CH 2","CH 3","CH 4","CH 5","CH 6","CH 7","CH 8","CH 9","CH 10",IGCH,Name,Date,"Burial Date c.",Contents,Mints,Disposition,Bibliography,"Sort date",Location,Notes,
,,,,,,,,9.502,,,"Pergamum ‚ÄòForgers hoard‚Äô",1988,"2nd cent. BC","27 AE","Pergamum: 2 (as SNGvA 1375)
25 AE Flans","Pergamum excavation.","H. Voegtli, ‚ÄòZwei M√ºnzfunde aus Pergamon‚Äô, SNR (1990), pp. 41-49.",200,E,,
,,,,,,,8.256,,,,"Failaka, Kuwait",1984,"285 BC","27 AR","Alexander tetradr: Amphipolis 3, Corinth 1, Miletus 1, Sardes 1, Cappadocia or Syria 1, Marathus 1, Byblos 3, Tyre 1, Phoenicia 2, Damas 1
Philip III tetradr.: Syria or Phoenicia 1, Babylon 3
Seleucus I: Seleuceia 2, Susa 4, Ecbatana 2",,"M. Amandry, O. Callot, 'Le trésor de Failaka 1984 (Koweit)', RN 1988, pp. 64-74",,,,
,,,,,,,,9.552,,,"unknown findspot","before 1999","Early 1st cent. BC","27+ AE","Smyrna
Apollo/tripod: 1
Cybele/krater: 1
Cybele/Aphrodite: 7
Apollo/Homer: 18","Okray Collection","GCHT , p. 41, nos. 767-93.",100,E,,
,,,,,,,8.452,,,,"Lycia, Turkey",1986/87,150,"27+ AR","Lycian League","in trade, part of larger hoard","pl. LIX< 24-25; pl. LX, 1-25",,,,
,,,,,,,8.238,,,,"Asia Minor",1993,"300 or later","27+ AR","Macedonia, Alexander III (Lampsacus, Abydus, Colophon, Magnesia, Miletus, Sardes, uncertain)
Philip III (Lampsacus, Colophon, Magnesia, Sardes, Side, uncertain)","in trade in London","pl. XXX, 15-36",,,,
,,,,,,,8.010,,,,"Western Asia Minor",1985,"525 BC","270 AR with jewellery mainly in fragments","""Croesus"": 77 (st., lion forepart and bull forepart (24); half-st. (5); smaller fractions (48))
Caria: 163 (st., lion forepart (34), fractions (129)
Lycia: 1 st. (lion head r./patterned incuse)
Phaselis: 3 fractions
Other fractions of Miletus, Colophon, Cebren, Selge seen with the above were probably not from the same find.","Haifa Museum",,,,,
,,,,,,,8.485,,,,"unknown findspot","before 1934","100 BC?","274 AR","Myndos: 91 dr. (Zeus/Isis crown); 8 hemidr. (Dionysos/thunderbot); 71 trihemiob. (Dionysos/grapes)
Halikarnassos: 25 dr. (Helios/Athena); 1 hemidr. (Apollo/kithara); 77 trihemiob. (Athena/owl)
Knidos: 1 trihemiob. (Aphrodite/grapes)","Ankara, Anatolian Civilsations Museum","M. Tevfik Göktürk, in R.H.J. Ashton (ed.) ""Studies in Ancient Coinage from Asia Minor"" (forthcoming)",,,,
,,,,,,,,9.463,,,"unknown findspot",1994,"Late 4th cent. BC","275+ AR","Ephesus: 
92+ tetradrs.
3+ didr.
Magnesia: 
4+ tetradrs.
53+ didrs.
6+ dr.
Miletus: 10 drs.
Hecatomnids:
Uncert.: 6 tetradr.
Uncert.: 14 dr.
Mausolus: 2 tetradrs.
Idrieus: 1 tetradr.
Rhoontopates: 1 tetradr.
Rhodes: 83+ didrs.",Dispersed,"To be published by P. Kinns and R.H.J. Ashton.",320,E,,
,,,,,,7.061,,,10.271,,"Denizli, Turkey",1963,230-210,"276 AR","Alexander III
Uncert. Greece or Macedonia: 3 drs
Lampsacus: 24 drs
Abydus: 14 drs
Magnesia: 17 drs
Sardes: 6 drs
Colophon: 30 drs
Teos: 4 drs
Mylasa: 2 drs
Miletus: 5 drs
Side: 1 dr.
Uncert. mints: 8 drs
Philip III
Abydus 1 dr.
Magnesia 1 dr.
Sardes: 4 drs
Colophon: 7 drs
Uncert. Asia Minor: 1 dr.","Brussels 127","F. De Callataÿ, ‘Un trésor de drachmes aux types d’Alexandre le Grand conservé au Cabinet des Médailles à Bruxelles’, RBN 129 (1983), pp. 23–60, pls. vi–vii.",230,E,"Recorded by P. Kinns in CH 7.061. Reference to De Callataÿ in CH 10.271.",
,,,,,,,8.071,,,,"Asia Minor",1984,"400 BC","277 AR","Parium: as BMC Mysia, p. 24, nos. 1-5, pl. XXI 6","in trade",,,,,
,,,,,,,8.428,,,,Turkey,1990,"170 B.C. c.","28+ AR","Macedonia, Alexander III: 24 tetradr. (Perge, ? tetradr. (Phaselis)
Ephesus: dr. 4?","in trade",,,,,
,,,,,,,,,10.254,,"unknown Findspot, Turkey",2000,"Late 4th cent. BC","28+ AR","Ephesus: 28 dr.","Kayhan collection, Turkey 28","SNG Kayhan 249-76",310,E,,
1.028,,,,,,,,,,,"South of Izmir?",1974,"mid 4th","28+ AR","Rhoes
Cos
Samos
Colophon","in commerce",,,,,
,,,,,,,8.028,,,,"Bolu area, northern Turkey","before 1989","500 - 400 BC","29 AR","Persian sigloi","Bolu Museum, on display 1989",,,,,
,2.050,,,,,,,,,,Balkans,1967,325,"29+ AU","Philip II: Pella
Amphipolis
Alexander III: Macedonia
Tarsus
Salamis, Cyprus
Sidon","Paris and dispersed","to be published by G. Le Rider",,,,
,,,,,,,8.002,,,,"Western Asia Minor",1990,"560 BC","29+ EL, part of a much larger hoard","'Miletus': 1 st., lion recumbent; 2 thirds, lion recumbent; 1 sixth, lion recumbent (flan apparently 2 twelfths joined); 11 twelfths, lion head r.; 14 twenty-fourths, lion head facing","in trade","pl. I, 5-33
Lanz 13.5.91, 180-1; Lanz 27.11.89, 409; Lanz 12.11.90, 209",,,,
1.055,,,,,,,,,,,"Asia Minor",1970,290-280,"298+ AR","Alexander III
Philip III
Seleucus I",,"M. Kampmann, RN 1972, 151-168",,,,
,,,,,,,,9.055,,,"Olynthus, Chalcidice (grave 553)",1938,"First half 4th cent. BC",2AE,"Scione:  1
Abydus:  1","Athens, Numismatic Museum","Ref. Olynthus XI, p. 108.  P. Tselekas NC 156 (1996), pp. 249-59, no. 28.",400,C,,
,,,,,,,,,10.045,,"Calim, Bulgaria",1976,"319/8 BC","3 AR","Alexander III
Magnesia: 1 dr.
Sardes: 1 dr. (Price 2639)
Amphipolis 1 dr.",,"H. A. Troxell, Studies in the Macedonian Coinage of Alexander the Great, ANS NS 21 (New York, 1997), p. 75, citing K. Dimitrov, 'Trésor monétaire hellénistique de Nicopolis ad Nestum (IGCH 829)', Archéologia 1 (1988), pp. 44-56 at pp. 48, 50 and 55.",319,C,,
,,,,,,,8.112,,,,"Ancient Ephesus, Turkey","before 1848","350 BC","3 AR","Colophon: 2 quarter-ob. (SNG IV, 4401, 4402)
Ephesus: 1 half-st. (SNG IV, 4412)",,"Sotheby Cat. 20/6/ 1848, p. 157",,,,
,,,,,,,8.050,,,,"Izmir, Turkey",unknown,"450 BC","3 AR","Caria: Nike running l., looking r., holding caduceus r. and probably wreath l./pyramid with handles; with bird formations (2) (as Kraay, ACGC, pl. 57, 994); with grape? formation (1)","in trade",,,,,
,,,,,,,8.239,,,,"Rhodes, ancient city","1976 or 1977","300 - 280 B.C.","3 AR, 239 AE","Rhodian coins of end of 4th - beginning of 3rd cent. BC

2 didr. 
1 hemidr.",,"BCH 109 (1985) II, p. 844; ArchDelt 31 (1976) [1984] Chron. p. 386 and ArchDelt 32 (1977) [1984] Chron. p. 344-373",,,,
,,,,,,,8.007,,,,"Western Turkey",?,"530 BC","3 AU; 14 EL","AU lion and bull forepart st. (style of McClean 8635)
light AU st.: 2
EL thirds: 14 (6-8) early Weidauer (with 2 light) (6 of good style), none inscribed","in trade","pl. I, 40",,,,
,,,,,,7.027,,,,,"Isthmia, Corinth, Greece",1960,390,"3 in excavations","Persian darics 3",,"O. Broneer, Isthmia II, 1973, 34 and 36
Hesperia 31, 1962, 21
H. Nicolet-Pierre, ‘Xerxes et la Trésor de l’Athos (IGCH) 362’, RN 1992, p. 19, note 31 and p. 20",,,,
,,,,,,,,9.021,,,"Dabene, Bulgaria",1979,"4th cent. BC",3+,"Cyzicus: male figure kneeling to right
Athens: tetradr, I period
Parion: hemidr.","Sofia 3 (inv. no. ccxxxiv - 1979)","J. Youroukova, Archeologia 1-2 (1981) p. 126-130",400,C,,
,,,,,,,8.205,,,,"Kirman-shah, Iran",1974/75,"315 BC","3+ AV",double-darics,"in trade",,,,,
,,,,,,,,9.536,,,"Antalya environs",1898,"Late 2nd cent. BC","30 (+1) AE","Phaselis: 1 prow/stern, 12 prow/Athena
Termessos: 4 Zeus/horse-forepart (to yr. 17)
Perge: 2 sphinx/Artemis
Aspendos: 2 horse forepart/sling
Kitanaura: 9 Artemis/male figure

(+1 intrusive ae of Lycian League)",Unknown,"J. Noll√©, ‚ÄòKitanaura. M√ºnzen und Geschichte einer kleinen Stadt in den ostlykischen Bergen‚Äô, JNG 46 (1996), pp. 7-29.",125,E,,
,,,,,,,,,10.357,,"Çeltikçi, Burdur, Pisidia, Turkey",1978,"Mid-late 1st cent. BC","30 AE","Perge: 1
Apameia: 1
Cremna: 7
Sagalassus: 1
Selge: 16
Aspendus: 1
Amyntas of Galatia: 1
Unidentified: 2","Burdur Museum","H. Köker, NC 166 (2006), p. 378, no. 52.",50,E,,
,,,,,,,8.293,,,,"Bolu area (?), Northern Turkey","before 1989","250 BC?","30 AR","Macedonia, Alexander III: dr.","Bolu Museum, on display",,,,,
,,,,,,7.048,,,,,"Menemen, Izmir, Turkey",1981,320,"30 AU","Alexander III","in commerce",,,,,
,,,,,,,8.482,,,,Caria,1989,"100 BC","30+ AR","Halicarnassus: 8 dr.
Myndus: 22 dr.: 13 Theodoros, 1 Herodoros, 7 Menedemos, 1 Amphiktion","in trade",,,,,
,,,,,,7.011,,,,,"Caria, Turkey",1967,"early 5th","30+ AR",Cnidus,"photos on file in BM",,,,,
,,,4.014,,,,,,,,"Gemlik Bursa, Turkey",1972,"mid 5th","30+ AR",Cyzicus,"Bursa Museum",,,,,
,,,,5.021,6.012,,,,,,"Asia Minor",1978,350,"30+ AU","Persian darics 30","in commerce, seen in Munich, dispersed","H. Nicolet-Pierre, ‘Xerxes et la Trésor de l’Athos (IGCH) 362’, RN 1992, p. 20",,,,
,,,,,,,8.012,,,,"South-West Turkey",1989,"515 BC","30+ AV","Sardes: lion forepart and bull forepart, including 3+ st., 1+ sixths","in trade, part of a larger hoard","pl. II, 22-25",,,,
,,,,,,,8.005,,,,"Western Asia Minor",1988,"540 BC","30+ EL","EL fraction, many with patterned reverse","dispersed in trade","pl. I, 34-39",,,,
,,,,,,,,9.494,,,"unknown findspot","Before 1983","250-240 BC","300 AE","Lysimachus: 1 (as SNG Cop. 1152)
Antiochus II
Sardes: 299 (Apollo hd. r./tripod)","Izmir Archaeological Museum","A. Travaglini in Izmir I, pp.109-20, pls. XXXIV-XXXXVIII.",250,E,,
,,,,5.015,,,,,,,"Cilicia, Turkey",1977,400,"300+ AR",Athens,"in commerce",,,,,
,,,,,,,,9.579,,,"Kırıkhan, Hatay","Before 1994","38/7 BC","31 AR","Ariarathes IV 4 drs.
Ariarathes VI 1 dr.
Ariobarzanes I 22 drs.
Ariobarzanes II 2 drs.
Ariarathes X 1 dr.
Alexander I Balas 1 dr.","Private collection, K‚Ä∫r‚Ä∫khan","L. Sara√ß and A. Davesne, ‚ÄòUn lot de drachmes cappadociennes √† K‚Ä∫r‚Ä∫khan (Hatay)‚Äô, in TCMA, pp. 61-4, pl. ix.",38,E,,
,,,,,,,,9.488,,,"unknown findspot","before 1985","260-230 BC","31+ AR","Alexander III drs.
  Lampsacus: 3
  ‚ÄòAbydos‚Äô: 5
  ‚ÄòColophon‚Äô: 14
  Magnesia: 2
  Miletus: 2
  Sardes: 4
  Uncert.: 1","In commerce","A. Davesne and A. Lemaire, ‚ÄòTr√©sors hell√©nistiques du Proche-Orient‚Äô, RN  151 (1996), pp. 51-76, no. 2.",260,E,,
,,,,,6.011,,,,,,"Cilicia, Turkey",1979,380,"31+ AR","Sinope
Aspendus
Celenderis
Homi
Issus
Mallus Tiribazus
Nagidus
Persia Mallus","dispersed, in trade",,,,,
1.020,,,,,,,,,,,"North West Turkey ",1971,5th,"31+ EL","Cyzicus 26 sixths: v. Fritze Grp. II a : 2 III b-c: 23","on file in BM; dispersed","fig. 2
Gitta Gastner Sale 6 (26:xi:74) 76-89
",,,,
,,,,,,,,,10.285,,"Aziziye Köyü, Burdur, Pisdia,Turkey",1978,"2nd-1st cent. BC","32 AE","Selge: 29
(Herakles/thunderbolt and bow: 15)
(Herakles/Stag hd.: 3)
(Herakles/Stag protome: 6) (Herakles/thunderbolt: 1)
(Circular shield/lance head: 4)
Side: 3 (Athena/Nike)","Burdur Museum","H. Köker and A. Çankaya, NC 166 (2006), p. 376, no. 45 (the summary there gives a total of 31 coins, but lists 32; the higher number is adopted here).",200,E,,
,,,,,,,,,10.262,,"unknown Findspot",2003,"3rd cent. BC","32 AE","Magnesia: 32 hemichalka",Dispersed,"P. Kinns, ‘Opuscula Anatolica III’, NC 164 (2004), pp. 71-107, at 71-83.",300,E,,
,,,,,,,,,10.263,,"Antakya environs, Turkey",1992,"290 BC","32 AR","Alexander III
Amphipolis: 2
Sardes: 1
Salamis: 1
Carrhae: 8
Ake: 2
Babylon: 13
Ecbatana: 1
Philip III
Babylon: 2
Seleucus I
Seleuceia ad Tigrim: 2","M. Durmaz collection.","M. Arslan, ‘Durmaz koleksiyonu'ndaki buyuk iskender tetradrahmi definesi’, Belleten 70 (2006), pp. 479-503, pls. i-iv.",290,E,,
,,,,,,,8.093,9.389,,,Cilicia,1987,"380 BC","32+ AR","Celenderis: 25 (Kraay 3 and 4)
Nagidos: 4 (Lederer III and VII)
Soloi: 1
Mallos: 2","In commerce","The listing above supersedes that published in CH 8.

CH 8: pl. V, 24-26; pl. VI, 1-24; pl. VII, 1-5",380,E,,
,,,,,,,,9.349,,,Lycia(?),"c. 1972","480 BC","32+ AR","Lycia: 32 st.
Boar protome r./rough or patterned incuse: 10
Boar protome l./rough or patterned incuse: 20
Boar protome l./trisceles: 2","In commerce","Vismara, Ripostigli, pp. 93, 152-7, Pl.1-3. For discussion of the composition of this hoard, see further the review by Spier, NC 2000 (forthcoming).",480,E,,
,,,,,,,,,10.319,,"Northern Israel",2002,"123 BC","327 AE","Side
Antiochus III
Ptolemaïs (Ake): 68
Tyre: 2
Seleucus IV
Antioch on the Orontes: 4
Antiochus IV
Antioch on the Orontes: 2
Antioch on the Orontes or Ptolemaïs (Ake): 2
Ptolemaïs (Ake): 149
Samaria?: 2
Demetrius I
Antioch on the Orontes: 4
Ptolemaïs (Ake): 31
Alexander I
Uncertain Mint 90, N. Syria: 1 Tyre: 2
Gaza: 3
Demetrius II, first reign
Tyre: 1
Antiochus VII
Antioch on the Orontes: 6
Alexander II
Antioch on the Orontes: 3
Cleopatra Thea and Antiochus VIII
Antioch on the Orontes: 1
Aradus
Ptolemaïs (Ake)
Ptolemaic",Commerce,"Recorded from commerce by O. Hoover. A. Houghton, C. Lorber and O. Hoover, Seleucid Coins: a Comprehensive Catalogue, II. 2, (Lancaster, 2008), p. 108. For full publication see below, pp. 000-000.",123,E,,
,,,,,,,8.278,,,,"Thessaly, Greece",,"270 BC","329 AR","Macedonia, Philip II: 17 tetradr.
Macedonia, Alexander III: 22 tetradr. (including Pella helmet group); 73 dr.
Macedonia, Philip III: 1 tetradr.; 4 dr.
Macedonia, Demetrius Poliorcetes: 3 tetradr. (Newell pls. II.19, V.15, VII.5)
Thrace, Lysimachus: 1 dr., 6 tetradr.
Syria, Seleucus I: 2 tetradr. (Alexander type)
Larrisa: 49 dr. (mostly worn), 1 ob. (horse/Heracles)
Phalanna: 11 dr.
Magnetes: 1 hemidr.
Locris: 1 hemidr.
Rhodes: 1 hemidr.
Athens: 136 tetradr. (4th cent.)","in trade",,,,,
,,,,,,,8.198,,,,"Anthienou-Arsos, Cyprus",1941,"320 BC","33 AR","Salamis, Pnytagoras: 2 didr., 28 tetradr.
Macedonia, Alexander III: 3 dr.","Cyprus Museum, Nicosia","A. Destrooper-Georgiades, 'Un ""trésor"" de monnaies de Pnytagoras de Salamine (Chypre) provenant de la région d'Anthienou-Arsos',Studia Paulo Naster oblata, I, p. 43-53",,,,
,,,,,,7.035,,,,,Turkey,,350,"33 AR",Sinope,,"Num Circ. 36, 1928, 537",,,,
,,,,,,7.051,,,,,"Karditsa, Greece",1980,315,"33+ AR","Thebes
Philip II
Alexander III
Aegina
Sicyon",,"to be published by R. Hepworth",,,,
,,,,5.017,,,8.096,9.387,10.229,,"Caria, Turkey",1977,"375 BC","338+ AR","CH 9: Thasos: 11 drs. 
Ephesus: 50 tetradrs. 
7 didrs.         
1 hemidr.         
9 SYN dble. sigloi
Colophon: 1 tetradr.
Chios: 3 tetradrs.
1 didr.
Samos: 24 tetradrs.
1 hemidr.
Caunus: 21 sts.
14 tetrobs.
Cnidus: 20 tetradrs.
9 drs.
4 SYN dble sigloi
Idyma: 1+ drs.
Halicarnassus: 2 drs.
Hecatomnus: 77 tetradrs.
Cos: 23 tetradrs.
1 dr.
Rhodes: 8 tetradrs.
49+ hemidrs.
8+ SYN dble sigloi

","Dispersed. Kayhan collection, Turkey 8-9.","For publication see CH 9 pp. 95–158. For specimen from this hoard see SNG Kayhan 144 (Ephesus), 663 (?), 664 (Samos), 759-60 (Halicarnassus), 796 (Caunus), 822 (Cnidus), 868-9 (Hecatomnus). R. Ashton, ‘The Solar Disk Drachms of Caria’, NC 1990, p. 31, note 7.",375,E,"Mints in CH 9.387 (updating partial lists of previous CHs). Date in CH 9.387 given as 390-385 BC. References to Kayhan collection in CH 10.229",
,,,,,,,,9.508,,,"Çeltek, Yeﬂilova",1995,"170 BC",33AR,"Side: tetradrs. to Leschhorn group XII",Burdur,"M. Arslan, ‚Äò YeÔ¨Çilova-√áellek Side Tetradrahmi Definesi 1995‚Äô, Adalya 2 (1998), 51-69.",170,E,,
,,,,,,,,,10.234,,"unknown Findspot, Turkey",2008,"Mid 4th cent. BC","34 AR","Sinope: 33 drs.
Persia: 1 siglos","O. Altıntuğlu collection, Ankara","M. Arslan, ‘Orhan Altıntuğlu koleksiyonu’ndaki Sinope drachmi definesi 2008’ in O. Tekin (ed.), Ancient History, Numismatics and Epigraphy in the Mediterranean World. Studies in memory of Clemens E. Bosch and Sabahat Atlan and in honour of Nezahat Baydur (Istanbul, 2009), pp. 27-49.",350,E,,
1.026,,,,5.019,,,,,,,"Isparta, Turkey",1960,360,"34 AR (CH 5: 9+ AR)","CH 1: Aspendus; 3 st.; 6 sigloi
Persia; 1 sigl. (bow and spear); 24 sigl.(bow and dagger) All cmkd., sometimes
repeatedly. Commonest cmks.bucranlum and triskeles.
CH 5: Aspendus Double sigloi 3.
sigloi 6.
Persia sigloi 24 (King with dagger).
",Ashmolean,"C.M. Kraay, Essays in honour of M. Thompson, 131-7",,,"Reference to Kraay in CH 5.019.",
,,,,,,7.006,,,,,"Canakkale, Turkey",,"early 6th","34 EL",fractions,Canakkale,,,,,
,2.105,,,,,,,,,,Rhodes?,1975,"early 1st","34+ AR",Rhodes,"in commerce","R.H.J. Ashton with A.-P.C. Weiss, ‘The Post-Plinthophoric Silver Drachms of Rhodes’, NC 1997, p. 32, note 34.",,,,
,,,,,,,8.275,,,,"Asia Minor",1988,"275 BC","34+, part of a larger hoard","Lysimachus: 34 tetradr.: 1 Pella, 2 Lysimacheia, 12 Lampsacus, 1 Abydus, 2 Cius, 2 Magnesia, 3 Sardes, 1 uncertain","in trade","pl. XXXI, 3-17; pl. XXXII, 1-17; pl. XXXIII, 1-2",,,,
,,,,5.027,,,,,,,"Amasya, Turkey",1978,320,"35 AR","Ariarathes I","in commerce",,,,,
,,,,,,,,,10.261,,"İsparta province?, Turkey",1978,"3rd cent. BC","35 AR","Selge: 36 obols","Isparta Museum","O. Köyağasıoğlu, A. Tolga Tek and N. İşçi, NC 164 (2004), p. 251, no. 7, present a basic listing with weights.",300,E,,
,,,,,,,8.094,,,,unknown,unknown,"375 BC","35(+?) sigloi","sigloi: 35","Dispersed. 23 at the Fitzwilliam Museum, Cambridge","K. Butcher, p. 73
pl. VII, 6-37; pl. VIII, 1-3",,,,
,,,,,,,,9.402,,,Aspendos?,"c. 1995","370 BC","350+ AR","Lycia:
Lagbe
Wedri
Trbbênimi
Mithrapata
Perikle","In commerce","Vismara, Ripostigli, p.103, no. 16.",370,E,,
,2.026,,,,,,,,,,"Asia Minor",1975,450-425,"350+ AR",Persia,dispersed,"Noe NNM 136 hoard
on file in BM",,,,
,,,,,,,,9.354,,,Lycia,"c. 1996","460 BC","350+ AR","Lycia:
Pegasus/triskeles
Fish/triskeles
Simena
Xinaœáa
Kuprlli","In commerce","Vismara, Ripostigli, p. 92, no. 8a",460,E,,
,,,,,,,8.302,,,,"Tell Halaf, Turkey",1913,"246 - 240 BC","353 AR","Alexander III: 56 tetradr.
Amphipolis: 18 tetradr.
Thrace?/Macedonia?/Greece?: 3 tetradr.
Lampsacus: 1 tetradr., 26 dr.
Abydus: 13 dr.
Chios: 2 dr.
Imitation of Chios: 1 dr.
Teos: 3 dr.
Kolophon: 68 dr.
Sardes: 1 tetradr., 12 dr.
Magnesia ad Maenandrum: 13 dr.
Miletus: 1 tetradr., 12 dr.
Imitation of Miletus: 1 tetradr.
Mylasa: 4 dr.
Side: 1 tetradr., 1 dr.
Tarsos: 2 tetradr.
Salamis: 1 tetradr.
Amathus: 1 tetradr.
Antigoneia: 1 tetradr.
Aradus: 2 tetradr., 1dr.
Byblos: 1 tetradr.
Ake: 1 tetradr.
Tyre: 1 tetradr., 1 dr.
Babylon: 7 tetradr.
uncertain: 6 dr.
illegible: 13 tetradr., 58 dr.
Lysimachus:
Lysimacheia: 1 tetradr., 1 dr.
Lampsacus: 9 tetradr.
Magnesia ad Maenandrum: 1 tetradr.
Colophon: 1 tetradr., 2 dr.
Ephesus: 1 dr.
Heracleia: 2 tetradr.
Amphipolis: 1 tetradr.
Byzantium: 2 tetradr.
Calchedon?: 1 tetradr., 2 dr.
Parium: 1 tetradr.
uncertain: 6 tetradr.
illegible: 1 tetradr.
Macedonia, Demetrius Poliorcetes: tetradr.
Amphipolis 1, uncertain 1, illegible 1 Pergamum, Attalids: Seleucus I (of Alexandertype):
Ecbatana: 3 tetradr.
Tarsus ?: 1 tetradr.
Antiochus I: Laodicea ad Mare:
of Alexandertype: Laodiceia ad Mare: 1 tetradr.
imitation: 1 tetradr.
of Antiochustype: Seleuceia ad Tigrim: 3 tetradr.
Ecbatana: 2 tetradr.
Sardes: 1 tetradr.
Antiochus II:
Seleuceia ad Tigrim: 4 tetradr.
Antioch: 4 tetradr.
""Apameia"": 2 tetradr.
Tarsus: 1 tetradr.
Sardes ?: 1 tetradr.
Lysimacheia: 1 tetradr.
uncertain: 13 tetradr.
221 dr.",,"G. Le Rider, N. Olcay, ' Le trésor de Tell Halaf (IGCH 1763)', RN 1989, pp. 25-40.",,,,
,,,,,,,8.121,,,,"Asia Minor","before 1992","350 BC","354 AR",Sigloi,"in trade","The Clark E. Adams and Norman Applebaum Collections. Superior Galleries, New York, Dec. 11-12, 192, lot 2234.",,,,
,,,,,,,,,10.199,,"Asia Minor ?",2002,"7th - 6th cent BC","36 +EL","EL Ingots 
4 EL coins",dispersed,"H.S. Kim, ‘Electrum Ingot Hoard (2002): A proto-monetary hoard?’, SNR 83 (2004), pp. 5-16 with pls. 1-3. Some of the pieces in this hoard might not be genuine.",700,E,,
,,,,,,,,,10.341,,"Izmir, Turkey",1995,"89/8 BC","36 AR","Pergamum: 12 cist.
Ephesus: 24 cist. (to year 45)",Ankara,"T. Göktürk, ‘Un trésor de monnaies cistophores trouvé à Izmir’, Anatolia Antiqua 5 (1997), pp. 83-85.",88,E,,
,,,,,,,8.521,,,,"East coast of Antikythera",1976,"075 - 50 BC","36 AR and 3 AE, late cistophoric, shipwreck pot hoard","Pergamon: 31 cistophoroi (c. 85-67 BC)
uncertain: 5 cistophoroi
Ephesus: 3 AE (c. 70-60 BC)","Athens, National Museum","BCH 116 (1992) p. 858; Eymoysia: Yalouris, N. ""The Shipwreck of Antikythera"" Ceramic and Iconographic Studies in honour of Alexander Cambitoglou; Mediterranean Archaeology Suppl. 1 (1990), p. 135-6",,,,
,,,,,,,8.294,,,,Caria,1988/89,"250 BC","36+ AR","Rhodian didr.: Ashton Series 1a and 1b (11), 2 (21), 2A (1), 3 (3).

= Ashton, RN 1988 pp. 75-90",dispersed,"R.H.J. Ashton, CNR (1992/3) p. 4",,,,
,,,,,,,8.106,,,,unknown,unknown,"350 BC","37 AR","Nagidos: st. (seated Aphrodite/standing Dionysus)","Adana Museum, on display (1990)",,,,,
,,,,,,,,9.556,,,Artaxata,1972,"80-70 BC","37 AR in excavation","Athens 1 tetradr.
Antiochus VI 1  tetradr.
Antiochus VII: 9  tetradrs.
Demetrius II: 1 dr.
Seleucus VI 1  tetradr.
Philip I: 4  tetradrs.
Alexander III imit. 1 dr.
Ariarathes IV 2 drs.
Ariarathes VII 8 drs.
Ariobarzanes I 3 drs.
Mithradates I 2 drs.
Artabanos I: 1 dr.
Mithradates II: 2 drs.
Sinatruces: 1 dr.","Yerevan (inv. nos. 19798/1-37)","HCFA, pp. 91-5, pls. 4-5.",80,E,,
,,,,,,,8.446,,,,"Polatlı, Turkey",1985,"150 - 140 BC","37 AR, pot hoard","Cistophoric tetradr.: 
4 Apameia
12 Pergamon
11 Ephesos
1 Sardis
9 Tralles","Anatolian Civilisations Museum, Ankara, inventory no. 38-37-85","M. Tevfik Göktürk, 'The Polatlı hoard', in:Recent Turkish Coin Hoards and Numismatic Studies, pp. 205-212.",,,,
,,,,,,,8.153,,,,unknown,,"335 BC","37 sigloi: ""from a recent near eastern hoard""","37 sigloi",,"HMF Shulman sales 9/12/1966, 275-80.",,,,
,,,,,,,8.311,,,,Aradus?,"before 1981","230 B.C. c.","37? AR tetradr.","Ptolemy I: Cos, BMC 75 and 78 (2)
Ptolemy I or II: Miletus, BMC 57 (2); Mylasa, BMC 51 (1); uncertain, BMC 2 (1); uncertain, BMC 59 (2)
Ptolemy II: 255/4 BC, BMC 112 (1); Sidon, BMC 32 (2); 254/53 BC, Sidon, BMC 68 (2); 254/53 BC, Sidon, BMC 34 (1); Tyros, BMC 37 (2) (1 spec. countermarked); 256 BC, Tyros, BMC 81-85 (1); 254/3 BC, Tyros, BMC 86-90 (1); 252/2 BC, Tyros, BMC 91-92 (2); 252/1 BC, Tyros, BMC 93-98 (1); Ace, BMC 39 (1); Gaza, 249/8 BC, BMC 141 (1); Joppa to r. (1); uncertain, BMC 1 (1)
Ptolemy III: BMC 33 (1); BMC 43 (1); Sidon, BMC 18-21 but to r. (1)
unidentified: 8
Tyrus: 1","in trade",,,,,
,,,,,,7.071,,,,,"Peloponnese, Greece",1960s,265,"37+ AR","Alexander III (Pella, Ephesus, Chios, Corinth, Peloponnese, Uncertain)
Lysimachus",,"to be published by M.J. Price",,,,
1.094,,,,,,,,,,,Turkey,1974,"85 ?","37+ AR","AThens NS",dispersed.,"Photos on fiel in ANS",,,,
1.069,,,,,,,,,,,Antalya,1974,"late 3rd","37+ AU","Egypt Berenice
Arsinoe II
Theon Adelphon
Ptolemy IV","in commerce","some photos on file in BM",,,,
,,,,,,,8.014,,,,"Colophon, near the temple of Apollo Clarios, Turkey","c. 1968","510 BC",37+AR,"Colophon: half-ob.(Milne 3 (1), 5 (2), 18 (3), SNR 1962/3, 7.81-2 (1)); quarter-ob. (Milne 7 (4), 12 (2), 30 (3), 31 (3), 33 (1), 34 (1), 35 (2))
Teos: 12 (cf. Kraay, RSN 1962/3, 112-131);
1 (Kraay, 110)
Miletus?: 2 (lion's head facing /star in incuse square)
Ionia uncertain: 1","in trade",,,,,
